movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Tom and Huck,12/22/95,Adventure,PG,23837227,45911517
Mr. Holland's Opus,12/29/95,Drama,PG,82582604,157508868
White Squall,2/2/96,Adventure,PG-13,10229300,19509726
Mr. Wrong,2/16/96,Romantic Comedy,PG-13,12805071,24422334
Muppet Treasure Island,2/16/96,Adventure,G,34327391,65470567
Before and After,2/23/96,Drama,PG-13,8642118,16482589
Up Close & Personal,3/1/96,Drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Franc…,3/8/96,Adventure,G,32709423,62384706
Two Much,3/15/96,Romantic Comedy,PG-13,1078555,2057055
Un indien dans la ville,3/22/96,Comedy,PG,1029731,1963937
James and the Giant Peach,4/12/96,Adventure,PG,28921264,55159783
Celtic Pride,4/19/96,Comedy,PG-13,9240378,17623615
Last Dance,5/3/96,Drama,R,5857534,11171714
Boys,5/10/96,Drama,PG-13,21930418,41826566
Spy Hard,5/24/96,Comedy,PG-13,26936265,51373912
Eddie,5/31/96,Comedy,PG-13,31369401,59828966
The Rock,6/7/96,Action,R,134069511,255702705
The Hunchback of Notre Dame,6/21/96,Adventure,G,100138851,190988799
Phenomenon,7/5/96,Drama,PG,104636382,199559799
Kazaam,7/17/96,Comedy,PG,18880508,36009655
Jack,8/9/96,Drama,PG-13,58617334,111792852
First Kid,8/30/96,Comedy,PG,26465920,50465108
The Rich Man's Wife,9/13/96,Thriller/Suspense,R,8538318,16284619
D3: The Mighty Ducks,10/4/96,Comedy,PG,22936273,43713554
The Associate,10/25/96,Comedy,PG-13,12772657,24333094
Ransom,11/8/96,Action,R,136492681,259807820
101 Dalmatians,11/27/96,Comedy,G,136189294,258728898
The Preacher's Wife,12/13/96,Drama,PG,48102795,91076877
Evita,12/25/96,Musical,PG,50047179,92077628
Metro,1/17/97,Action,R,32017895,58804106
Prefontaine,1/24/97,Drama,PG-13,590817,1085093
Shadow Conspiracy,1/31/97,Thriller/Suspense,R,2154540,3957025
That Darn Cat,2/14/97,Comedy,PG,18301828,33613158
Jungle 2 Jungle,3/7/97,Comedy,PG,59925026,110058379
The Sixth Man,3/28/97,Comedy,PG-13,14765099,27117599
Grosse Pointe Blank,4/11/97,Black Comedy,R,28084357,51579764
Romy and Michele's High School Reunion,4/25/97,Comedy,R,29235353,53693680
Gone Fishin',5/30/97,Comedy,PG,19745922,36265379
Con Air,6/6/97,Action,R,101117573,185712664
Hercules,6/13/97,Adventure,G,99112101,182029412
George Of The Jungle,7/16/97,Comedy,PG,105263257,193326632
Nothing To Lose,7/18/97,Comedy,R,44480039,81692095
Air Bud,8/1/97,Comedy,PG,24646936,45266588
G.I. Jane,8/22/97,Drama,R,48169156,88467531
A Thousand Acres,9/19/97,Drama,R,7928412,14561324
Washington Square,10/5/97,Drama,PG,1775644,3257546
Rocket Man,10/10/97,Comedy,PG,15448043,28371890
Playing God,10/17/97,Thriller/Suspense,R,4166918,7652965
Flubber,11/26/97,Comedy,PG,92993801,170406423
Kundun,12/25/97,Drama,PG-13,5686694,10236836
Mr. Magoo,12/25/97,Comedy,PG,21437192,39145784
An American Werewolf in Paris,12/25/97,Horror,R,26570463,48546161
Deep Rising,1/30/98,Action,R,11203026,20136775
An Alan Smithee Film: Burn Hollywood …,2/27/98,Comedy,R,45779,82277
Krippendorf's Tribe,2/27/98,Comedy,PG-13,7571115,13608633
Meet the Deedles,3/27/98,Comedy,PG,4356126,7829877
He Got Game,5/1/98,Drama,R,21567853,38766948
The Horse Whisperer,5/15/98,Drama,PG-13,75383563,135497531
"Six Days, Seven Nights",6/12/98,Romantic Comedy,PG-13,74339294,133620516
Mulan,6/19/98,Adventure,G,120620254,216807832
Armageddon,7/1/98,Adventure,PG-13,201578182,362324957
Jane Austen's Mafia,7/24/98,Comedy,PG-13,19843795,35668055
The Parent Trap,7/29/98,Comedy,PG,66308518,119185667
Firelight,9/4/98,Drama,R,784419,1409943
Simon Birch,9/11/98,Drama,PG,18253415,32809442
Holy Man,10/9/98,Comedy,PG,12069719,21694605
Beloved,10/16/98,Drama,R,22852487,41062682
The Waterboy,11/6/98,Comedy,PG-13,161491646,288691833
I'll Be Home For Christmas,11/13/98,Comedy,PG,12214338,21941840
Enemy of the State,11/20/98,Action,R,111549836,198472008
A Bug's Life,11/20/98,Adventure,G,162798565,288981698
Rushmore,12/11/98,Black Comedy,R,17105219,28392518
